00000844,00000001,000ffffe,130813
00000810,0000000a,00080403,130817
00000808,00000002,000ffffe,131087
00000810,0000000a,00080404,131232
00000814,00000001,000ffffe,131292
0000082c,00000001,000ffffe,131327
00000834,00000002,000ffffe,131346
0000087c,00000001,000ffffe,131626
00000810,0000000a,00080404,131776
00000834,00000002,000ffffe,131839
00000844,00000001,000ffffe,131874
0000085c,00000001,000ffffe,132132
00000814,00000001,000ffffe,132533
00000800,00000001,000ffffe,132734
00000884,00000001,000ffffe,132835
00000884,00000001,000ffffe,132886
0000084c,00000002,000ffffe,132913
0000087c,00000001,000ffffe,133197
0000082c,00000001,000ffffe,133340
0000084c,00000002,000ffffe,133413
0000085c,00000001,000ffffe,133720
00000874,00000001,000ffffe,134114
00000840,00000011,0008022d,134599
00000814,00000001,000ffffe,134818
00000810,0000000a,00080404,134945
00000834,00000002,000ffffe,135236
00000810,0000000a,00080404,135394
00000854,00000011,00080482,135748
00000874,00000001,000ffffe,135906
00000800,00000001,000ffffe,136233
00000864,00000002,000ffffe,136398
0000085c,00000001,000ffffe,136719
00000808,00000002,000ffffe,137153
00000844,00000001,000ffffe,137369
0000087c,00000001,000ffffe,137478
00000808,00000002,000ffffe,137534
00000870,00000007,00080404,137567
00000854,00000011,00080482,137863
00000884,00000001,000ffffe,138262
00000814,00000001,000ffffe,138470
00000834,00000002,000ffffe,138847
00000808,00000002,000ffffe,139275
00000874,00000001,000ffffe,139728
00000810,0000000a,00080404,140236
0000087c,00000001,000ffffe,140477
00000834,00000002,000ffffe,140843
00000808,00000002,000ffffe,141026
0000084c,00000002,000ffffe,141118
00000874,00000001,000ffffe,141435
0000082c,00000001,000ffffe,141834
00000800,00000001,000ffffe,142034
00000880,00000001,000ffffe,142406
00000884,00000001,000ffffe,142832
0000085c,00000001,000ffffe,143285
00000854,00000011,00080480,143528
0000082c,00000001,000ffffe,143626
00000870,00000007,00080404,143929
0000084c,00000002,000ffffe,144073
00000880,00000001,000ffffe,144147
00000810,0000000a,00080404,144194
00000840,00000011,00080251,144460
00000800,00000001,000ffffe,144574
0000087c,00000001,000ffffe,144911
00000874,00000001,000ffffe,145080
00000874,00000001,000ffffe,145165
00000834,00000002,000ffffe,145209
0000085c,00000001,000ffffe,145230
0000087c,00000001,000ffffe,145513
00000814,00000001,000ffffe,145655
00000840,00000011,00080256,146014
0000084c,00000002,000ffffe,146171
00000864,00000002,000ffffe,146497
0000082c,00000001,000ffffe,146931
00000808,00000002,000ffffe,147150
00000808,00000002,000ffffe,147531
00000834,00000002,000ffffe,147722
00000884,00000001,000ffffe,147817
00000874,00000001,000ffffe,148137
00000834,00000002,000ffffe,148538
00000808,00000002,000ffffe,149010
00000854,00000011,00080480,149533
0000085c,00000001,000ffffe,150011
0000082c,00000001,000ffffe,150498
0000085c,00000001,000ffffe,150742
00000880,00000001,000ffffe,151104
0000082c,00000001,000ffffe,151525
00000864,00000002,000ffffe,151737
00000880,00000001,000ffffe,151842
00000810,0000000a,00080404,152144
00000874,00000001,000ffffe,152282
00000810,0000000a,00080404,152365
00000834,00000002,000ffffe,152666
00000844,00000001,000ffffe,152820
00000800,00000001,000ffffe,152898
00000834,00000002,000ffffe,153210
0000084c,00000002,000ffffe,153366
00000864,00000002,000ffffe,153716
00000884,00000001,000ffffe,154162
00000810,0000000a,00080404,154395
00000870,00000007,00080404,154776
00000810,0000000a,00080404,155211
00000854,00000011,00080480,155674
00000884,00000001,000ffffe,156158
00000874,00000001,000ffffe,156648
00000834,00000002,000ffffe,157134
0000085c,00000001,000ffffe,157376
00000874,00000001,000ffffe,157498
00000808,00000002,000ffffe,157800
00000884,00000001,000ffffe,157950
00000844,00000001,000ffffe,158026
00000864,00000002,000ffffe,158337
00000880,00000001,000ffffe,158731
00000854,00000011,00080484,158945
00000840,00000011,00080287,159316
00000834,00000002,000ffffe,159487
0000084c,00000002,000ffffe,159820
00000834,00000002,000ffffe,159987
0000082c,00000001,000ffffe,160070
00000870,00000007,00080404,160390
00000808,00000002,000ffffe,160782
00000874,00000001,000ffffe,160980
00000864,00000002,000ffffe,161081
00000870,00000007,00080404,161376
00000884,00000001,000ffffe,161755
00000834,00000002,000ffffe,161949
00000800,00000001,000ffffe,162045
00000880,00000001,000ffffe,162094
00000840,00000011,00080291,162135
00000810,0000000a,00080404,162141
00000874,00000001,000ffffe,162143
00000854,00000011,00080481,162155
00000880,00000001,000ffffe,162417
00000884,00000001,000ffffe,162826
00000800,00000001,000ffffe,163031
00000808,00000002,000ffffe,163135
00000810,0000000a,00080404,163195
00000874,00000001,000ffffe,163452
00000814,00000001,000ffffe,163857
00000810,0000000a,00080405,164069
00000810,0000000a,00080405,164171
0000082c,00000001,000ffffe,164453
0000087c,00000001,000ffffe,164599
00000810,0000000a,00080405,164953
00000834,00000002,000ffffe,165118
00000844,00000001,000ffffe,165204
00000800,00000001,000ffffe,165248
00000844,00000001,000ffffe,165510
00000870,00000007,00080405,165919
0000085c,00000001,000ffffe,166115
00000854,00000011,00080482,166504
00000854,00000011,00080483,166691
00000808,00000002,000ffffe,166770
0000087c,00000001,000ffffe,167088
0000082c,00000001,000ffffe,167248
00000884,00000001,000ffffe,167600
00000880,00000001,000ffffe,168048
00000814,00000001,000ffffe,168512
0000087c,00000001,000ffffe,169016
00000874,00000001,000ffffe,169508
00000884,00000001,000ffffe,169994
00000840,00000011,000802b0,170493
0000085c,00000001,000ffffe,170719
0000087c,00000001,000ffffe,171080
0000084c,00000002,000ffffe,171262
0000087c,00000001,000ffffe,171352
00000854,00000011,00080485,171414
00000800,00000001,000ffffe,171661
00000874,00000001,000ffffe,171793
0000082c,00000001,000ffffe,172131
00000814,00000001,000ffffe,172572
00000814,00000001,000ffffe,172793
00000870,00000007,00080405,172910
00000800,00000001,000ffffe,172960
00000874,00000001,000ffffe,173228
00000864,00000002,000ffffe,173635
00000814,00000001,000ffffe,174109
00000814,00000001,000ffffe,174347
00000834,00000002,000ffffe,174707
00000880,00000001,000ffffe,174886
00000834,00000002,000ffffe,175217
00000800,00000001,000ffffe,175653
00000880,00000001,000ffffe,175872
00000840,00000011,000802c4,175998
00000834,00000002,000ffffe,176278
00000800,00000001,000ffffe,176425
00000840,00000011,000802c7,176787
00000854,00000011,00080484,177232
00000864,00000002,000ffffe,177440
0000082c,00000001,000ffffe,177551
00000864,00000002,000ffffe,177848
00000808,00000002,000ffffe,178236
0000084c,00000002,000ffffe,178702
00000814,00000001,000ffffe,179206
00000808,00000002,000ffffe,179460
00000854,00000011,00080485,179602
00000834,00000002,000ffffe,179651
00000834,00000002,000ffffe,179923
00000880,00000001,000ffffe,180330
00000880,00000001,000ffffe,180806
00000880,00000001,000ffffe,181316
00000800,00000001,000ffffe,181811
0000085c,00000001,000ffffe,182059
0000085c,00000001,000ffffe,182423
00000844,00000001,000ffffe,182845
00000884,00000001,000ffffe,183296
0000082c,00000001,000ffffe,183522
00000800,00000001,000ffffe,183875
00000844,00000001,000ffffe,184052
00000864,00000002,000ffffe,184142
00000834,00000002,000ffffe,184187
00000864,00000002,000ffffe,184210
00000840,00000011,000802e2,184237
00000834,00000002,000ffffe,184500
0000084c,00000002,000ffffe,184911
0000085c,00000001,000ffffe,185116
00000864,00000002,000ffffe,185492
00000870,00000007,00080405,185685
00000840,00000011,000802e9,186029
00000874,00000001,000ffffe,186452
00000870,00000007,00080405,186678
00000814,00000001,000ffffe,187054
00000854,00000011,00080484,187501
0000082c,00000001,000ffffe,187701
0000085c,00000001,000ffffe,188081
0000084c,00000002,000ffffe,188512
0000082c,00000001,000ffffe,188966
00000864,00000002,000ffffe,189195
0000084c,00000002,000ffffe,189549
00000800,00000001,000ffffe,189965
00000834,00000002,000ffffe,190175
0000084c,00000002,000ffffe,190280
0000085c,00000001,000ffffe,190332
00000814,00000001,000ffffe,190359
00000800,00000001,000ffffe,190373
00000800,00000001,000ffffe,190652
0000082c,00000001,000ffffe,190792
00000840,00000011,000802fc,191150
00000844,00000001,000ffffe,191577
0000084c,00000002,000ffffe,191800
00000800,00000001,000ffffe,192182
00000834,00000002,000ffffe,192375
00000864,00000002,000ffffe,192711
00000854,00000011,00080482,193166
0000085c,00000001,000ffffe,193610
00000810,0000000a,00080405,194121
0000085c,00000001,000ffffe,194603
00000808,00000002,000ffffe,194850
00000844,00000001,000ffffe,195212
00000810,0000000a,00080405,195403
0000085c,00000001,000ffffe,195725
00000840,00000011,0008030d,195907
00000840,00000011,0008030e,196230
00000880,00000001,000ffffe,196376
00000840,00000011,00080310,196713
0000087c,00000001,000ffffe,196858
0000085c,00000001,000ffffe,196939
00000800,00000001,000ffffe,196980
0000082c,00000001,000ffffe,197001
00000880,00000001,000ffffe,197012
0000082c,00000001,000ffffe,197018
00000844,00000001,000ffffe,197293
00000854,00000011,00080483,197447
0000085c,00000001,000ffffe,197772
00000864,00000002,000ffffe,197944
00000870,00000007,00080406,198035
0000082c,00000001,000ffffe,198344
00000854,00000011,00080487,198518
00000874,00000001,000ffffe,198853
00000810,0000000a,00080406,199038
00000844,00000001,000ffffe,199357
00000808,00000002,000ffffe,199794
00000800,00000001,000ffffe,200251
00000808,00000002,000ffffe,200753
0000087c,00000001,000ffffe,201003
0000082c,00000001,000ffffe,201129
00000808,00000002,000ffffe,201433
00000800,00000001,000ffffe,201584
0000084c,00000002,000ffffe,201933
00000870,00000007,00080406,202384
00000854,00000011,00080480,202857
00000814,00000001,000ffffe,203073
00000810,0000000a,00080406,203438
00000870,00000007,00080406,203853
00000810,0000000a,00080406,204305
00000840,00000011,0008032d,204537
00000800,00000001,000ffffe,204634
00000840,00000011,0008032d,204707
00000894,00000001,000ffffe,204720
00000800,00000001,000ffffe,204743
00000854,00000011,00080480,204751
