00000818,0000000a,00080404,135394
0000085c,00000011,00080482,135748
0000087c,00000001,000ffffe,135906
00000808,00000001,000ffffe,136233
0000086c,00000002,000ffffe,136398
00000864,00000001,000ffffe,136719
00000810,00000002,000ffffe,137153
0000084c,00000001,000ffffe,137369
00000884,00000001,000ffffe,137478
00000810,00000002,000ffffe,137534
00000878,00000007,00080404,137567
0000085c,00000011,00080482,137863
0000088c,00000001,000ffffe,138262
0000081c,00000001,000ffffe,138470
0000083c,00000002,000ffffe,138847
00000810,00000002,000ffffe,139275
0000087c,00000001,000ffffe,139728
00000818,0000000a,00080404,140236
00000884,00000001,000ffffe,140477
0000083c,00000002,000ffffe,140843
00000810,00000002,000ffffe,141026
00000854,00000002,000ffffe,141118
0000087c,00000001,000ffffe,141435
00000834,00000001,000ffffe,141834
00000808,00000001,000ffffe,142034
00000888,00000001,000ffffe,142406
0000088c,00000001,000ffffe,142832
00000864,00000001,000ffffe,143285
0000085c,00000011,00080480,143528
00000834,00000001,000ffffe,143626
00000878,00000007,00080404,143929
00000854,00000002,000ffffe,144073
00000888,00000001,000ffffe,144147
00000818,0000000a,00080404,144194
00000848,00000011,00080251,144460
00000808,00000001,000ffffe,144574
00000884,00000001,000ffffe,144911
0000087c,00000001,000ffffe,145080
0000087c,00000001,000ffffe,145165
0000083c,00000002,000ffffe,145209
00000864,00000001,000ffffe,145230
00000884,00000001,000ffffe,145513
0000081c,00000001,000ffffe,145655
00000848,00000011,00080256,146014
00000854,00000002,000ffffe,146171
0000086c,00000002,000ffffe,146497
00000834,00000001,000ffffe,146931
00000810,00000002,000ffffe,147150
00000810,00000002,000ffffe,147531
0000083c,00000002,000ffffe,147722
0000088c,00000001,000ffffe,147817
0000087c,00000001,000ffffe,148137
0000083c,00000002,000ffffe,148538
00000810,00000002,000ffffe,149010
0000085c,00000011,00080480,149533
00000864,00000001,000ffffe,150011
00000834,00000001,000ffffe,150498
00000864,00000001,000ffffe,150742
00000888,00000001,000ffffe,151104
00000834,00000001,000ffffe,151525
0000086c,00000002,000ffffe,151737
00000888,00000001,000ffffe,151842
00000818,0000000a,00080404,152144
0000087c,00000001,000ffffe,152282
00000818,0000000a,00080404,152365
0000083c,00000002,000ffffe,152666
0000084c,00000001,000ffffe,152820
00000808,00000001,000ffffe,152898
0000083c,00000002,000ffffe,153210
00000854,00000002,000ffffe,153366
0000086c,00000002,000ffffe,153716
0000088c,00000001,000ffffe,154162
00000818,0000000a,00080404,154395
00000878,00000007,00080404,154776
00000818,0000000a,00080404,155211
0000085c,00000011,00080480,155674
0000088c,00000001,000ffffe,156158
0000087c,00000001,000ffffe,156648
0000083c,00000002,000ffffe,157134
00000864,00000001,000ffffe,157376
0000087c,00000001,000ffffe,157498
00000810,00000002,000ffffe,157800
0000088c,00000001,000ffffe,157950
0000084c,00000001,000ffffe,158026
0000086c,00000002,000ffffe,158337
00000888,00000001,000ffffe,158731
0000085c,00000011,00080484,158945
00000848,00000011,00080287,159316
0000083c,00000002,000ffffe,159487
00000854,00000002,000ffffe,159820
0000083c,00000002,000ffffe,159987
00000834,00000001,000ffffe,160070
00000878,00000007,00080404,160390
00000810,00000002,000ffffe,160782
0000087c,00000001,000ffffe,160980
0000086c,00000002,000ffffe,161081
00000878,00000007,00080404,161376
0000088c,00000001,000ffffe,161755
0000083c,00000002,000ffffe,161949
00000808,00000001,000ffffe,162045
00000888,00000001,000ffffe,162094
00000848,00000011,00080291,162135
00000818,0000000a,00080404,162141
0000087c,00000001,000ffffe,162143
0000085c,00000011,00080481,162155
00000888,00000001,000ffffe,162417
0000088c,00000001,000ffffe,162826
00000808,00000001,000ffffe,163031
00000810,00000002,000ffffe,163135
00000818,0000000a,00080404,163195
0000087c,00000001,000ffffe,163452
0000081c,00000001,000ffffe,163857
00000818,0000000a,00080405,164069
00000818,0000000a,00080405,164171
00000834,00000001,000ffffe,164453
00000884,00000001,000ffffe,164599
00000818,0000000a,00080405,164953
0000083c,00000002,000ffffe,165118
0000084c,00000001,000ffffe,165204
00000808,00000001,000ffffe,165248
0000084c,00000001,000ffffe,165510
00000878,00000007,00080405,165919
00000864,00000001,000ffffe,166115
0000085c,00000011,00080482,166504
0000085c,00000011,00080483,166691
00000810,00000002,000ffffe,166770
00000884,00000001,000ffffe,167088
00000834,00000001,000ffffe,167248
0000088c,00000001,000ffffe,167600
00000888,00000001,000ffffe,168048
0000081c,00000001,000ffffe,168512
00000884,00000001,000ffffe,169016
0000087c,00000001,000ffffe,169508
0000088c,00000001,000ffffe,169994
00000848,00000011,000802b0,170493
00000864,00000001,000ffffe,170719
00000884,00000001,000ffffe,171080
00000854,00000002,000ffffe,171262
00000884,00000001,000ffffe,171352
0000085c,00000011,00080485,171414
00000808,00000001,000ffffe,171661
0000087c,00000001,000ffffe,171793
00000834,00000001,000ffffe,172131
0000081c,00000001,000ffffe,172572
0000081c,00000001,000ffffe,172793
00000878,00000007,00080405,172910
00000808,00000001,000ffffe,172960
0000087c,00000001,000ffffe,173228
0000086c,00000002,000ffffe,173635
0000081c,00000001,000ffffe,174109
0000081c,00000001,000ffffe,174347
0000083c,00000002,000ffffe,174707
00000888,00000001,000ffffe,174886
0000083c,00000002,000ffffe,175217
00000808,00000001,000ffffe,175653
00000888,00000001,000ffffe,175872
00000848,00000011,000802c4,175998
0000083c,00000002,000ffffe,176278
00000808,00000001,000ffffe,176425
00000848,00000011,000802c7,176787
0000085c,00000011,00080484,177232
0000086c,00000002,000ffffe,177440
00000834,00000001,000ffffe,177551
0000086c,00000002,000ffffe,177848
00000810,00000002,000ffffe,178236
00000854,00000002,000ffffe,178702
0000081c,00000001,000ffffe,179206
00000810,00000002,000ffffe,179460
